id;BSSID;SSID;AvgRSSI;LocationID
268;80:e0:1d:e6:79:dd;eduroam;-79;5
269;80:e0:1d:e6:79:dc;LU-Events;-78;5
270;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-87;5
271;80:e0:1d:ee:3f:6e;LU-Guest;-88;5
272;80:e0:1d:ee:3f:6f;LakeheadU;-88;5
273;aa:53:22:40:4e:05;NOSMConnect;-92;5
274;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-46;5
275;a4:6c:2a:d4:bf:12;eduroam;-46;5
276;a4:6c:2a:d4:bf:13;LU-Events;-44;5
277;a4:6c:2a:d4:bf:10;LU-Guest;-46;5
278;a4:6c:2a:d4:bf:11;LakeheadU;-47;5
279;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-83;6
280;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-73;6
281;a4:6c:2a:d4:ba:50;LU-Guest;-72;6
282;a4:6c:2a:d4:ba:51;LakeheadU;-74;6
283;a4:6c:2a:d4:ba:52;eduroam;-73;6
284;a4:6c:2a:d4:ba:5c;LU-Events;-93;6
285;a4:6c:2a:d4:ba:5e;LakeheadU;-92;6
286;a4:6c:2a:d4:ba:5f;LU-Guest;-92;6
287;a4:6c:2a:d4:ba:5b;Free Tbaytel WiFi;-92;6
288;ac:7a:56:c8:62:0f;LakeheadU;-80;6
289;ac:7a:56:c8:62:0e;LU-Events;-76;6
290;ac:7a:56:c8:62:0c;LU-Guest;-79;6
291;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-78;6
292;ac:7a:56:c8:62:07;eduroam;-78;6
293;00:42:68:59:8b:ff;LU-Guest;-82;6
294;00:42:68:59:8b:fc;LU-Events;-81;6
295;00:42:68:59:8b:fb;Free Tbaytel WiFi;-81;6
296;00:42:68:59:8b:fe;LakeheadU;-81;6
297;00:42:68:59:8b:fd;eduroam;-82;6
298;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-72;6
299;80:e0:1d:ee:3f:64;eduroam;-72;6
300;80:e0:1d:ee:3f:60;LakeheadU;-73;6
301;80:e0:1d:ee:3f:61;LU-Guest;-73;6
302;80:e0:1d:ee:3f:62;LU-Events;-71;6
303;a4:6c:2a:d4:bf:1f;LU-Guest;-46;6
304;a4:6c:2a:d4:bf:1d;eduroam;-46;6
305;a4:6c:2a:d4:bf:1e;LakeheadU;-46;6
306;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-46;6
307;a4:6c:2a:d4:bf:1c;LU-Events;-47;6
308;80:e0:1d:e6:79:d2;eduroam;-73;6
309;80:e0:1d:e6:79:d1;LakeheadU;-72;6
310;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-72;6
311;80:e0:1d:e6:79:d3;LU-Events;-72;6
312;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-77;6
